cpt_code,name,desc,short_desc
0011M,Onc prst8 ca mrna 12 gen alg,"The CPT procedure code Onc prst8 ca mrna 12 gen alg is used to detect the presence of specific cancer-related genes in a patient's prostate tissue. This procedure involves analyzing the mRNA (messenger ribonucleic acid) of 12 different genes that are commonly associated with prostate cancer. It is typically used as a diagnostic tool to aid in the early detection and treatment of prostate cancer.

Uses of the procedure:
This procedure is primarily used to help identify the presence of prostate cancer in patients. It can also be used to monitor the progression of the disease and determine the best course of treatment. In addition, it may be used to assess the effectiveness of cancer treatments and to identify any genetic mutations that may be present.

Common reasons to perform the procedure:
The most common reason to perform this procedure is to screen for prostate cancer in patients who are at high risk or who may be showing symptoms of the disease. It may also be used to confirm a suspected diagnosis or to monitor the response to treatment. Additionally, this procedure may be performed as part of a routine check-up for men over a certain age or with a family history of prostate cancer.

Relevant medical conditions:
This procedure is relevant for patients with suspected or confirmed prostate cancer, as well as those at","
This CPT procedure name refers to a genetic test that detects the presence of specific cancer-related mRNA in a tissue sample. It may be performed as part of cancer diagnosis or monitoring, such as in cases of prostate cancer where the presence of specific mRNA can indicate tumor growth or response to treatment."
0012M ,Onc mrna 5 gen rsk urthl ca,"The CPT code Onc mrna 5 gen rsk urthl ca is used to identify the risk of developing urinary tract cancer by analyzing the expression of 5 different genes. This procedure involves obtaining a sample of urine and testing it for specific gene markers associated with urinary tract cancer. It is commonly performed as a screening tool for individuals with a family history of urinary tract cancer or for those who have previously had a urinary tract cancer diagnosis. This code may also be used for monitoring the progression of urinary tract cancer or for evaluating the effectiveness of treatment. Relevant medical conditions for this procedure include a family history of urinary tract cancer, previous urinary tract cancer diagnosis, or symptoms of urinary tract cancer such as blood in the urine or frequent urination. ","This is a procedure that uses magnetic resonance imaging (MRI) to detect the risk of uterine cancer by analyzing the genetic material present in the cells.
It may be done to screen for uterine cancer in women who have a family history of the disease."
0013M ,Onc mrna 5 gen recr urthl ca,"The CPT code Onc mrna 5 gen recr urthl ca is used for the genetic testing of recurrent urothelial cancer. This procedure involves the analysis of five genes to identify any genetic mutations that may be linked to the recurrence of urothelial cancer, a type of cancer that affects the cells lining the urinary tract. This genetic testing is used to aid in the diagnosis and treatment of patients with recurrent urothelial cancer, as well as to determine the risk of developing this type of cancer. Common reasons for performing this procedure include monitoring treatment effectiveness, identifying potential hereditary factors, and providing personalized treatment options. Relevant medical conditions for this procedure include recurrent urothelial cancer and a family history of urothelial cancer. This CPT code is typically used by oncologists and urologists in the management of urothelial cancer.","
This CPT procedure involves the analysis of five genes in the urine to detect the recurrence of urothelial cancer. It is typically done as a follow-up test for patients with a history of urothelial cancer to monitor for any signs of recurrence."
0016M,Onc bladder mrna 219 gen alg,"The CPT code Onc bladder mrna 219 gen alg refers to a procedure involving the analysis of the bladder tissue for the presence of specific genetic markers associated with cancer. This procedure is used to diagnose and monitor bladder cancer, as well as to determine the prognosis and guide treatment decisions.

Uses of the procedure:
The Onc bladder mrna 219 gen alg procedure is primarily used in the diagnosis and management of bladder cancer. It can also be used to assess the risk of recurrence and monitor the response to treatment in patients with a history of bladder cancer. Additionally, this procedure can help identify patients who may benefit from targeted therapies based on their genetic profile.

Common reasons to perform the procedure:
The Onc bladder mrna 219 gen alg procedure may be performed for various reasons, including the presence of symptoms suggestive of bladder cancer, abnormal findings on imaging studies, or a positive result on a urine cytology test. This procedure may also be recommended for patients with a family history of bladder cancer or those at high risk due to occupational or environmental exposures.

Relevant medical conditions:
The Onc bladder mrna 219 gen alg procedure is relevant for patients with suspected or confirmed bladder cancer. It may also be used in patients with a history of bladder cancer to assess the risk of recurrence or monitor treatment","
This CPT procedure name refers to a genetic test used to detect specific mutations in the bladder related to cancer. It may be performed on a patient with a history of bladder cancer to determine the likelihood of recurrence."
0017M,Onc dlbcl mrna 20 genes alg,"The CPT procedure code for Onc dlbcl mrna 20 genes alg refers to a genetic testing procedure used to identify the expression of 20 specific genes in patients with diffuse large B-cell lymphoma (DLBCL). This test can help determine the prognosis of the disease and guide treatment decisions.

Uses of the procedure:
This procedure is used to analyze the expression of 20 genes in patients with DLBCL, a type of non-Hodgkin's lymphoma. It can be used to determine the likelihood of disease recurrence, response to treatment, and overall survival. This test can also be used to differentiate between different subtypes of DLBCL, which can affect treatment options.

Common reasons to perform the procedure:
The Onc dlbcl mrna 20 genes alg procedure may be performed for various reasons, including newly diagnosed DLBCL, monitoring disease progression or response to treatment, and assessing the risk of relapse after treatment. It may also be performed in cases where standard treatments have not been effective, to guide the use of targeted therapies. In some cases, this test may also be recommended for family members of patients with DLBCL to identify genetic predispositions to the disease.

Relevant medical conditions:
This procedure is relevant for patients with diffuse large","
This CPT procedure involves analyzing the expression of 20 specific genes to identify the subtype of diffuse large B-cell lymphoma (DLBCL). It may be performed to aid in the diagnosis and treatment of DLBCL in a patient with suspected lymphoma."
0019M,Cv ds plasma alys prtn bmrk,"CPT Code: 85027 - Cuvette test for plasma or serum proteins

This CPT procedure code is used to measure the levels of proteins in the plasma or serum of a patient's blood. It involves collecting a sample of the patient's blood and then using a specialized device called a cuvette to test for the presence and levels of various proteins. This test is commonly performed for diagnostic purposes, to assess the overall health and functioning of a patient's body. It can also be used to monitor the effectiveness of certain treatments or to diagnose specific medical conditions related to protein levels in the blood. Some common reasons to perform this procedure include screening for liver or kidney disease, monitoring nutritional status, and diagnosing blood disorders such as multiple myeloma. Relevant medical conditions that may require this procedure include liver or kidney disease, malnutrition, and certain types of cancer.",This CPT procedure is a cardiovascular diagnostic test that measures the levels of certain proteins in the blood to assess heart function. It is commonly used to diagnose and monitor conditions such as heart failure or heart attack.
0640T,Ncntc ifr spctrsc o/t pad 1,"CPT code Ncntc ifr spctrsc o/t pad 1 is a procedure code used to document non-contact infrared spectroscopy of the skin on the first digit (i.e. thumb) of the foot.

Uses of the Procedure:
This procedure is used to measure the oxygen saturation levels in the blood vessels of the skin on the first digit of the foot. It is commonly used to assess blood flow and oxygen levels in patients with peripheral arterial disease (PAD), a condition where there is narrowing or blockage of the arteries that supply blood to the extremities. This procedure can also be used to monitor the effects of treatments and interventions for PAD, such as medications or surgeries.

Common Reasons to Perform the Procedure:
This procedure may be performed to diagnose PAD, monitor the progression of the disease, or assess the effectiveness of treatments. It may also be used to screen patients who are at risk for developing PAD, such as those with diabetes, high blood pressure, high cholesterol, or a history of smoking.

Relevant Medical Conditions:
Non-contact infrared spectroscopy of the skin on the first digit of the foot may be relevant for patients with peripheral arterial disease, diabetes, high blood pressure, high cholesterol, or a history of smoking. It can also be used for patients undergoing","
This CPT procedure, known as Non-Contrast Infrared Spectroscopy of the Peripheral Artery Disease 1, is a diagnostic test used to measure blood flow and oxygen levels in the arteries of the extremities. It may be performed when a patient presents with symptoms of poor blood circulation, such as numbness or pain in the arms or legs."
0859T,Ncntc ifr spctrsc o/t pad ea,"CPT code Ncntc ifr spctrsc o/t pad ea is a procedure code used for non-contact infrared spectroscopy of the parietal area of the brain.

Uses: 
This procedure is used to measure the oxygen levels in the parietal area of the brain, which can help diagnose conditions such as stroke, brain tumors, and traumatic brain injuries. It is a non-invasive method of measuring brain activity and can provide valuable information for patient diagnosis and treatment.

Common Reasons to Perform the Procedure: 
Some common reasons to perform this procedure include monitoring brain function during surgery, assessing brain activity in patients with neurological disorders, and evaluating the effects of medication or therapy on brain function. It may also be used to detect changes in brain oxygen levels after a head injury or stroke.

Relevant Medical Conditions: 
This procedure is most commonly used in patients with neurological conditions such as stroke, brain tumors, traumatic brain injury, and epilepsy. It can also be helpful in monitoring brain function in patients with conditions such as dementia, Alzheimer's disease, and Parkinson's disease. Additionally, it may be used in patients undergoing brain surgery or those being treated for brain-related infections or inflammation. ","
This CPT procedure involves non-contact infrared spectroscopy of the ear canal. It is typically used to assess inflammation or infection within the ear."
0860T,Ncntc ifr spctrsc scr pad,"CPT code Ncntc ifr spctrsc scr pad is used to describe a noncontact infrared spectral scan of the skin for the purpose of diagnosing or monitoring skin conditions.

Uses: 
This CPT code is used to document the noncontact infrared spectral scanning of the skin, which is a non-invasive method of analyzing the skin's composition and condition. It is commonly used for diagnosing and monitoring various skin conditions, such as eczema, psoriasis, and acne.

Common Reasons to Perform the Procedure: 
Noncontact infrared spectral scanning of the skin is often performed to assess the severity and progression of skin conditions, as well as to guide treatment plans. It can also be used to evaluate the effectiveness of certain medications or skincare products.

Relevant Medical Conditions: 
This procedure is most commonly used for skin conditions that affect the outer layer of the skin, such as eczema, psoriasis, acne, and rosacea. It can also be used for other conditions that affect the skin's appearance and texture, such as hyperpigmentation or scarring. Noncontact infrared spectral scanning may also be useful in monitoring skin conditions related to systemic diseases, such as lupus or scleroderma. ","
This CPT procedure is a non-contact infrared spectroscopic screening for peripheral artery disease. It uses non-invasive technology to detect blockages in the arteries of the arms or legs, which can help diagnose and monitor the progression of the disease in patients with symptoms such as leg pain or numbness."
0018U,Onc thyr 10 microrna seq alg,"CPT code Onc thyr 10 microrna seq alg is a molecular diagnostic procedure used to analyze the expression levels of a specific set of microRNAs in thyroid tissue samples. It involves isolating and sequencing the microRNAs from the tissue and using an algorithm to determine their expression levels. 

Uses: 
This procedure is primarily used in the diagnosis and management of thyroid cancer. It can help identify specific microRNAs that are associated with the development and progression of thyroid cancer, allowing for more accurate diagnosis and personalized treatment plans. It can also be used to monitor the response to treatment and detect any potential recurrence of the cancer. 

Common reasons to perform the procedure: 
Some common indications for performing this procedure include a suspicious thyroid nodule on imaging, abnormal thyroid function tests, or a family history of thyroid cancer. It may also be recommended for patients with a history of radiation exposure to the neck, as this is a known risk factor for thyroid cancer. 

Relevant medical conditions: 
Thyroid cancer, thyroid nodules, abnormal thyroid function tests, family history of thyroid cancer, and radiation exposure to the neck are all relevant medical conditions that may warrant the use of CPT code Onc thyr 10 microrna seq alg. This procedure can help",This CPT procedure name refers to a genetic test used to analyze the expression of 10 specific microRNAs in thyroid tissue. This test may be done in order to help diagnose or monitor thyroid cancer.
0019U,Onc rna tiss predict alg,"CPT code Onc rna tiss predict alg is a procedure used for predicting the risk of developing cancer in a patient based on the analysis of their RNA tissue samples. It is a specialized test that can help healthcare providers identify individuals who may be at a higher risk of developing certain types of cancer. This procedure involves collecting tissue samples from the patient and analyzing the RNA (genetic material) within the cells to look for any abnormalities or genetic markers that may indicate an increased risk of cancer. It can be used for various types of cancer and can provide valuable information for preventive measures or early detection of the disease. Some common reasons to perform this procedure may include a family history of cancer, abnormal test results, or a patient's personal risk factors for certain types of cancer. Relevant medical conditions for this procedure may include hereditary cancer syndromes, genetic mutations, or a strong family history of cancer. ","
This is a CPT procedure for predicting oncological tissue types. It may be used to determine the type of cancer present in a biopsy sample."
0021U,Onc prst8 detcj 8 autoantb,"The CPT code Onc prst8 detcj 8 autoantb refers to a procedure used for detecting and diagnosing certain types of cancer in the prostate. This procedure involves testing for specific autoantibodies, which are antibodies that attack the body's own cells. This can be a useful tool in identifying prostate cancer, as certain autoantibodies have been found to be present in individuals with this condition. 

Uses of the procedure: 
This procedure is primarily used for detecting and diagnosing prostate cancer. It can also be used to monitor the progression of the cancer and the effectiveness of treatment. Additionally, the presence of specific autoantibodies can help determine the type and severity of the cancer, which can guide treatment decisions. 

Common reasons to perform the procedure: 
The most common reason for performing this procedure is to screen for prostate cancer in individuals who may be at risk, such as those with a family history of the disease or older men. It can also be used if a patient is experiencing symptoms of prostate cancer, such as difficulty urinating or blood in the urine. Additionally, this procedure may be recommended for individuals who have already been diagnosed with prostate cancer, as it can provide important information about the progression and treatment of the disease. 

Relevant","
This CPT procedure is a test for detecting autoantibodies in a patient's blood that may indicate the presence of cancer. It is commonly used as a screening tool for early detection of cancer in high-risk individuals."
0022U,Tgsap nsm lung neo dna&rna23,"CPT code Tgsap nsm lung neo dna&rna23 is a procedure code used to describe a targeted gene sequencing analysis panel for lung neoplasms that includes both DNA and RNA sequencing.

Uses of the procedure: 
This procedure is used to analyze and identify specific genetic mutations in lung tumors, which can help in the diagnosis, prognosis, and personalized treatment of lung cancer. It can also be used to monitor the response to treatment and detect any potential recurrence of the cancer.

Common reasons to perform the procedure: 
The Tgsap nsm lung neo dna&rna23 procedure is commonly performed on patients with lung cancer or suspected lung cancer. It may also be performed on individuals with a family history of lung cancer or individuals who are at a high risk for developing lung cancer.

Relevant medical conditions: 
This procedure is particularly relevant for lung neoplasms or tumors, including non-small cell lung cancer, small cell lung cancer, and other types of lung cancer. It may also be useful in identifying genetic mutations that contribute to the development of lung cancer in individuals with a family history of the disease.","
This CPT procedure involves testing for genetic mutations in lung tissue samples. It is commonly used to identify specific DNA and RNA changes in lung cancer patients for targeted treatment selection."
0023U,Onc aml dna detcj/nondetcj,"The CPT procedure code Onc aml dna detcj/nondetcj is used to detect or determine the presence or absence of acute myeloid leukemia (AML) in a patient's DNA. This procedure is typically used in the diagnosis and monitoring of AML, a type of cancer that affects the blood and bone marrow. It is also used to determine the response to treatment and to assess the risk of relapse in patients with AML. AML can present with symptoms such as fatigue, shortness of breath, and frequent infections. This procedure is commonly performed in patients who exhibit these symptoms and have abnormal blood cell counts, as well as those who have a family history of AML or have been exposed to certain risk factors such as exposure to radiation or certain chemicals. It involves taking a sample of the patient's DNA, usually from blood or bone marrow, and analyzing it for specific genetic mutations or abnormalities associated with AML. This information is crucial in determining the appropriate treatment plan for the patient and monitoring their response to therapy.","
This CPT procedure is used to detect or rule out the presence of specific genetic abnormalities associated with acute myeloid leukemia. It may be performed when a patient presents with symptoms of AML, such as fatigue and frequent infections, to aid in the diagnosis and treatment plan."
0024U,Glyca nuc mr spectrsc quan,"The CPT procedure code for Glyca nuc mr spectrsc quan is used to measure and analyze the levels of glycogen, a type of sugar, in the body using magnetic resonance spectroscopy. This procedure is commonly performed as a diagnostic tool to evaluate and monitor conditions such as glycogen storage diseases, diabetes, and liver disease. It can also be used to assess the effectiveness of treatment plans for these conditions. During the procedure, the patient is placed in a magnetic resonance imaging (MRI) machine and a specialized scan is performed to detect and measure the levels of glycogen in different parts of the body. The results of this test can provide valuable information for diagnosing and managing various medical conditions related to glycogen metabolism. ","
This CPT procedure name refers to a quantitative analysis of nuclear magnetic resonance spectroscopy for glycaemia levels. It may be performed to measure blood sugar levels in diabetic patients. 
"
0025U,Tenofovir liq chrom ur quan,"CPT Code Tenofovir liq chrom ur quan is a procedure code used to measure the quantity of tenofovir in the urine through liquid chromatography. Tenofovir is an antiviral medication commonly prescribed for the treatment of HIV and hepatitis B. This procedure is typically used to monitor and assess the effectiveness of tenofovir therapy in patients with these conditions. It may also be used to detect and diagnose drug resistance, as well as to ensure appropriate dosing of the medication. Patients with HIV or hepatitis B may undergo this procedure to track their response to tenofovir treatment and make necessary adjustments to their medication regimen. Additionally, this procedure may be performed in patients with suspected drug toxicity or those who are at risk for developing drug resistance. Overall, the Tenofovir liq chrom ur quan procedure is an important tool for managing and monitoring the treatment of HIV and hepatitis B with tenofovir.","This CPT procedure involves analyzing a urine sample for the presence and quantity of the drug tenofovir, which is used to treat HIV and hepatitis B infections. It may be performed to monitor the effectiveness of medication or to check for potential drug interactions in patients with these infections."
